partner_a	partner_b	name	disease	tier	frequency	entity	partner_b_band	references	notes
RUNX1	RUNX1T1	t(8;21)(q22;q22.1)	AML	defining	5-10%	AML with RUNX1::RUNX1T1		WHO-5; ICC 2022; ELN 2022	ELN favourable; KIT comutation modifies risk
CBFB	MYH11	inv(16)(p13.1q22)/t(16;16)	AML	defining	5-8%	AML with CBFB::MYH11		WHO-5; ICC 2022; ELN 2022	ELN favourable; pericentric inv, may be cryptic
PML	RARA	t(15;17)(q24.1;q21.2)	AML	defining	5-8%	APL with PML::RARA		WHO-5; ICC 2022	ATRA/ATO responsive; oncologic emergency
RARA	ZBTB16	t(11;17)(q23.2;q21.2)	AML	defining	<1%	APL with other RARA rearrangement		WHO-5	ATRA-resistant variant APL
RARA	NUMA1	t(11;17)(q13;q21.2)	AML	defining	<1%	APL with other RARA rearrangement		WHO-5	variant APL
RARA	STAT5B	der(17)	AML	defining	<1%	APL with other RARA rearrangement		WHO-5	ATRA-resistant variant APL
RARA	FIP1L1	t(4;17)(q12;q21.2)	AML	defining	<1%	APL with other RARA rearrangement		WHO-5	variant APL
RARA	IRF2BP2	t(1;17)(q42;q21.2)	AML	defining	<1%	APL with other RARA rearrangement		WHO-5	variant APL
RARG	NUP98	t(11;12)(p15;q13)	AML	emerging	<1%	APL-like with RARG rearrangement		PMID:31501154	ATRA/ATO resistant; treat as non-APL
RARB	TBL1XR1	t(3;X)	AML	emerging	<1%	APL-like with RARB rearrangement	3q26.32	PMID:31501154	reported in paediatric APL-like disease; TBL1XR1 is on the ALL panel only; on the AML panel this side resolves to cytoband
DEK	NUP214	t(6;9)(p22.3;q34.1)	AML	defining	1-2%	AML with DEK::NUP214		WHO-5; ICC 2022; ELN 2022	ELN adverse; often FLT3-ITD co-occurrent
MECOM	RPN1	inv(3)(q21.3q26.2)/t(3;3)	AML	defining	1-2%	AML with MECOM rearrangement		WHO-5; ICC 2022; ELN 2022	GATA2 distal enhancer hijack; ELN adverse
MECOM	RUNX1	t(3;21)(q26.2;q22)	AML	defining	<1%	AML with MECOM rearrangement		WHO-5; ELN 2022	therapy-related; ELN adverse
MECOM	ETV6	t(3;12)(q26.2;p13)	AML	defining	<1%	AML with MECOM rearrangement		WHO-5	ELN adverse
PRDM16	RPN1	t(1;3)(p36.3;q21.3)	AML	emerging	<1%	AML with PRDM16 rearrangement		PMID:11090076	MEL1; EVI1-like expression phenotype
NPM1	MLF1	t(3;5)(q25.3;q35.1)	AML	emerging	<1%	AML with NPM1::MLF1		PMID:8630977	distinct from NPM1 exon-12 insertion
CBFA2T3	GLIS2	inv(16)(p13.3q24.3)	AML	defining	3% paed	AML with CBFA2T3::GLIS2		WHO-5; ICC 2022	cryptic; paediatric non-DS AMKL; adverse
KAT6A	CREBBP	t(8;16)(p11.2;p13.3)	AML	defining	<1%	AML with KAT6A::CREBBP		WHO-5	infant AML; erythrophagocytosis; DIC
KAT6A	EP300	t(8;22)(p11.2;q13)	AML	emerging	<1%	AML with KAT6A rearrangement		PMID:11986954	variant of t(8;16)
RBM15	MRTFA	t(1;22)(p13.3;q13.1)	AML	defining	<1%	AML with RBM15::MRTFA		WHO-5; ICC 2022	MKL1; infant AMKL, non-DS
ETV6	MNX1	t(7;12)(q36.3;p13.2)	AML	defining	<1% (paed)	AML with ETV6::MNX1		WHO-5	infant AML; often cryptic; adverse
FUS	ERG	t(16;21)(p11.2;q22.2)	AML	defining	<1%	AML with FUS::ERG		WHO-5	adverse; may relapse late
RUNX1	CBFA2T3	t(16;21)(q24.3;q22)	AML	emerging	<1%	AML with RUNX1 rearrangement		PMID:8043835	therapy-related AML
RUNX1	CBFA2T2	t(20;21)(q11;q22)	AML	emerging	<1%	AML with RUNX1 rearrangement		PMID:9858551	rare RUNX1 partner
PICALM	MLLT10	t(10;11)(p13;q14.2)	BOTH	defining	<1%	AML/T-ALL with PICALM::MLLT10		WHO-5	HOXA activation; adverse
SET	NUP214	del(9)(q34.11q34.13)	BOTH	defining	3% T-ALL	T-ALL/AML with SET::NUP214		WHO-5	cryptic deletion; HOXA activation
NUP214	ABL1	episomal amplification	ALL	actionable	6% T-ALL	T-ALL with NUP214::ABL1		WHO-5	ABL-TKI sensitive; extrachromosomal amplicon
NUP98	NSD1	t(5;11)(q35.3;p15.4)	AML	defining	4-7% paed	AML with NUP98 rearrangement		WHO-5; ICC 2022; ELN 2022	cryptic; ELN adverse; FLT3-ITD/WT1 comutation
NUP98	KDM5A	t(11;12)(p15.4;p13.33)	AML	defining	2-3% paed	AML with NUP98 rearrangement		WHO-5; ICC 2022	paediatric AMKL/AML; adverse
NUP98	HOXA9	t(7;11)(p15.2;p15.4)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	classical HOXA hijack
NUP98	HOXD13	t(2;11)(q31.1;p15.4)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	MDS/AML
NUP98	PRRX1	t(1;11)(q24.2;p15.4)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	
NUP98	TOP1	t(11;20)(p15.4;q12)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	therapy-related
NUP98	PHF23	t(11;17)(p15.4;p13.1)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	
NUP98	JADE2	t(5;11)(q31;p15.4)	AML	emerging	<1%	AML with NUP98 rearrangement		PMID:26492932	PHF15
NUP98	BPTF	t(11;17)(p15.4;q24.3)	AML	emerging	<1%	AML with NUP98 rearrangement		PMID:26492932	
NUP98	LNP1	t(3;11)(q12.2;p15.4)	AML	emerging	<1%	AML with NUP98 rearrangement		PMID:26492932	
NUP98	HOXA_cluster	t(7;11)(p15;p15)	AML	defining	<1%	AML with NUP98 rearrangement		WHO-5	breakpoint may fall anywhere in HOXA cluster
KMT2A	AFF1	t(4;11)(q21.3;q23.3)	ALL	defining	2% B-ALL; 50% infant	KMT2A-rearranged		WHO-5; ICC 2022	AF4; infant B-ALL; adverse
KMT2A	MLLT3	t(9;11)(p21.3;q23.3)	AML	defining	2-4%	AML with KMT2A rearrangement		WHO-5; ELN 2022	AF9; ELN intermediate (the only non-adverse KMT2A-r)
KMT2A	MLLT1	t(11;19)(q23.3;p13.3)	BOTH	defining	1-2%	KMT2A-rearranged		WHO-5; ELN 2022	ENL; ELN adverse
KMT2A	MLLT10	t(10;11)(p12;q23.3)	BOTH	defining	1-2%	KMT2A-rearranged		WHO-5; ELN 2022	AF10; ELN adverse
KMT2A	ELL	t(11;19)(q23.3;p13.1)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5; ELN 2022	ELN adverse
KMT2A	AFDN	t(6;11)(q27;q23.3)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5; ELN 2022	MLLT4/AF6; ELN adverse
KMT2A	MLLT6	t(11;17)(q23.3;q12)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5; ELN 2022	AF17; ELN adverse
KMT2A	MLLT11	t(1;11)(q21;q23.3)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5	AF1q; paediatric
KMT2A	EPS15	t(1;11)(p32;q23.3)	ALL	defining	<1%	KMT2A-rearranged		WHO-5	infant B-ALL
KMT2A	AFF3	t(2;11)(q11.2;q23.3)	ALL	emerging	<1%	KMT2A-rearranged		PMID:9788390	LAF4
KMT2A	SEPTIN6	t(X;11)(q24;q23.3)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5	paediatric
KMT2A	SEPTIN9	t(11;17)(q23.3;q25)	AML	defining	<1%	AML with KMT2A rearrangement		WHO-5	therapy-related
FIP1L1	PDGFRA	del(4)(q12q12)	AML	actionable	common in MLN-eo	MLN with FIP1L1::PDGFRA		WHO-5	cryptic; CHIC2 deletion is the FISH surrogate; imatinib-responsive
PDGFRA	CHIC2	del(4)(q12)	AML	actionable		MLN with PDGFRA rearrangement		WHO-5	CHIC2 loss marks the FIP1L1::PDGFRA deletion
PDGFRB	ETV6	t(5;12)(q32;p13.2)	AML	actionable		MLN with PDGFRB rearrangement		WHO-5	imatinib-responsive
PDGFRB	CCDC88C	t(5;14)(q32;q32)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	GOLGA4	t(5;3)(q32;p21)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	HIP1	t(5;7)(q32;q11.2)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	RABEP1	t(5;17)(q32;p13)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	SPTBN1	t(2;5)(p16;q32)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	TP53BP1	t(5;15)(q32;q22)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	TRIM24	t(5;7)(q32;q34)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
PDGFRB	MYO18A	t(5;17)(q32;q11)	AML	actionable	rare	MLN with PDGFRB rearrangement		WHO-5	
FGFR1	ZMYM2	t(8;13)(p11.2;q12)	AML	defining	most common FGFR1	MLN with FGFR1 rearrangement		WHO-5	8p11 myeloproliferative syndrome; aggressive
FGFR1	CNTRL	t(8;9)(p11.2;q33)	AML	defining	rare	MLN with FGFR1 rearrangement		WHO-5	CEP110
FGFR1	CEP43	t(6;8)(q27;p11.2)	AML	defining	rare	MLN with FGFR1 rearrangement		WHO-5	FGFR1OP
FGFR1	LRRFIP1	t(2;8)(q37;p11.2)	AML	defining	rare	MLN with FGFR1 rearrangement		WHO-5	
FGFR1	MYO18A	t(8;17)(p11.2;q11)	AML	defining	rare	MLN with FGFR1 rearrangement		WHO-5	
FGFR1	TRIM24	t(7;8)(q34;p11.2)	AML	defining	rare	MLN with FGFR1 rearrangement		WHO-5	
JAK2	PCM1	t(8;9)(p22;p24.1)	AML	defining	most common JAK2	MLN with JAK2 rearrangement		WHO-5	ruxolitinib reported active
JAK2	ETV6	t(9;12)(p24.1;p13.2)	BOTH	defining	rare	MLN with JAK2 rearrangement		WHO-5	
JAK2	BCR	t(9;22)(p24.1;q11.2)	BOTH	defining	rare	MLN with JAK2 rearrangement		WHO-5	distinct from BCR::ABL1
FLT3	ETV6	t(12;13)(p13.2;q12.2)	AML	actionable	rare	MLN with FLT3 rearrangement		WHO-5	FLT3-inhibitor sensitive
FLT3	ZMYM2	t(13;13)	AML	actionable	rare	MLN with FLT3 rearrangement		WHO-5	
FLT3	TRIM24	t(7;13)	AML	actionable	rare	MLN with FLT3 rearrangement		WHO-5	
FLT3	MYO18A	t(13;17)	AML	actionable	rare	MLN with FLT3 rearrangement		WHO-5	
FLT3	SPTBN1	t(2;13)	AML	actionable	rare	MLN with FLT3 rearrangement		WHO-5	
ABL1	ETV6	t(9;12)(q34.1;p13.2)	BOTH	actionable	rare	MLN/ALL with ABL1 rearrangement		WHO-5	ABL-TKI sensitive
